first_name,last_name,season,season_type,league,team,games,starts,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,blocked_shot_attempts,offensive_rebounds,defensive_rebounds,assists,screen_assists,turnovers,steals,deflections,loose_balls_recovered,blocked_shots,personal_fouls,personal_fouls_drawn,offensive_fouls,charges_drawn,technical_fouls,flagrant_fouls,ejections,points_off_turnovers,points_in_paint,second_chance_points,fast_break_points,possessions,estimated_possessions,team_possessions,usage_percentage,true_shooting_percentage,three_point_attempt_rate,free_throw_rate,offensive_rebounding_percentage,defensive_rebounding_percentage,total_rebounding_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,internal_box_plus_minus,first_name_norm_x,last_name_norm_x,full_name_norm_x,in_nba,plus_minus,calculated_possessions,plays_used,birth_date,first_name_norm_y,last_name_norm_y,full_name_norm_y
Abass,Warren,2019.0,Full Season,NBA,,30.0,16.0,627.8333,181.0,30.0,68.0,34.0,96.0,19.0,24.0,11.0,6.0,52.0,84.0,3.0,35.0,14.0,23.0,27.0,2.0,52.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.0,1315.5697,8402.0685,14.2696,0.5177,0.5862,0.1449,0.9842000000000001,7.908,5.5769,18.8762,1.3123,0.0678,16.8682,-4.0847,abass,warren,abass|warren,,-174.0,1362.0,212.0,1991-05-20,abass,warren,abass|warren
Abdoulaye,Mays,2012.0,Full Season,EuroCup,Mavericks,16.0,14.0,359.09,112.0,30.0,74.0,13.0,29.0,13.0,22.0,7.0,34.0,69.0,14.0,0.0,25.0,17.0,0.0,0.0,13.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.5207,603.5207,1084.0514,19.4146,0.497,0.2816,0.2136,14.6477,27.1553,21.5072,8.1384,3.2471,4.0464,18.158,4.8774,abdoulaye,mays,abdoulaye|mays,False,,,,1982-11-27,abdoulaye,mays,abdoulaye|mays
Abdul,Flynn,2018.0,Full Season,Spain - ACB,Dons,30.0,28.0,795.83,463.0,81.0,167.0,72.0,157.0,85.0,90.0,24.0,14.0,59.0,73.0,0.0,53.0,23.0,0.0,0.0,1.0,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.1738,1384.1738,2399.4281,26.0375,0.6367,0.48460000000000003,0.2778,2.1631,12.1214,5.4051,19.4817,2.1151,0.031100000000000003,12.722,2.8566000000000003,abdul,flynn,abdul|flynn,True,,,,1994-06-26,abdul,flynn,abdul|flynn
Abdul,Flynn,2019.0,Full Season,EuroCup,Monarchs,23.0,9.0,508.09,293.0,47.0,82.0,53.0,111.0,40.0,44.0,8.0,2.0,27.0,38.0,0.0,28.0,12.0,0.0,0.0,0.0,27.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.8489,859.8489,1565.3722,24.4693,0.6899000000000001,0.5751000000000001,0.228,1.3456000000000001,8.5879,5.4606,13.595,1.1588,0.0,11.6492,3.3383,abdul,flynn,abdul|flynn,True,,,,1994-06-26,abdul,flynn,abdul|flynn
Abdul,Flynn,2019.0,Full Season,Spain - ACB,Monarchs,29.0,9.0,590.09,332.0,55.0,101.0,63.0,130.0,33.0,39.0,10.0,10.0,35.0,46.0,0.0,39.0,11.0,0.0,0.0,1.0,67.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.5933,999.5933,2710.3548,24.625,0.6689,0.5628000000000001,0.1688,1.4991,9.5156,4.5023,15.2563,0.9563,0.1411,13.5813,3.372,abdul,flynn,abdul|flynn,True,,,,1994-06-26,abdul,flynn,abdul|flynn
Abdul,Flynn,2020.0,Full Season,NBA,Raptors,51.0,1.0,524.0667,233.0,34.0,60.0,52.0,111.0,9.0,12.0,14.0,10.0,65.0,29.0,2.0,17.0,11.0,18.0,13.0,2.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.5,1099.0269,8417.8107,15.8284,0.6609,0.6491,0.0702,3.0289,12.1744,8.7976,10.4666,1.158,0.5343,8.7955,1.3685,abdul,flynn,abdul|flynn,,103.0,1093.5,181.0,1994-06-26,abdul,flynn,abdul|flynn
Abdul,Flynn,2021.0,Full Season,NBA,Raptors,20.0,0.0,123.2167,42.0,4.0,11.0,10.0,28.0,4.0,4.0,1.0,1.0,13.0,9.0,1.0,5.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.5,255.4223,3383.0582,16.0338,0.5152,0.7179,0.10260000000000001,0.2295,13.2065,6.5181000000000004,12.3166,0.8931,0.0,10.9266,-3.5523,abdul,flynn,abdul|flynn,,-14.0,281.5,46.0,1994-06-26,abdul,flynn,abdul|flynn
Abromaitis,Mullens,2021.0,Full Season,Italy - Liga A,Hawkeyes,17.0,12.0,423.0,99.0,10.0,19.0,23.0,60.0,10.0,13.0,2.0,9.0,82.0,64.0,0.0,22.0,11.0,0.0,0.0,1.0,38.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.8636,774.8636,1474.6222,12.2829,0.5843,0.7595000000000001,0.1646,2.5183999999999997,22.8659,12.4707,24.8921,1.1631,0.507,20.6147,1.1385,abromaitis,mullens,abromaitis|mullens,False,,,,1985-08-25,abromaitis,mullens,abromaitis|mullens
Acy,Slaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-07-26,acy,slaughter,acy|slaughter
Adams,Dejean-Jones,2021.0,Full Season,EuroCup,Orange,14.0,8.0,299.2,147.0,25.0,52.0,27.0,53.0,16.0,18.0,2.0,4.0,18.0,24.0,0.0,24.0,9.0,0.0,0.0,4.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.2321,565.2321,1057.9286,21.6217,0.6509,0.5048,0.1714,1.7777,7.9247,4.6651,11.3283,1.8149000000000002,1.1754,17.5285,1.9308,adams,dejean-jones,adams|dejean-jones,False,,,,1993-12-23,adams,dejean-jones,adams|dejean-jones
Adams,Dejean-Jones,2021.0,Full Season,Italy - Liga A,Orange,18.0,8.0,339.0,124.0,20.0,55.0,25.0,76.0,9.0,10.0,5.0,5.0,24.0,26.0,0.0,22.0,14.0,0.0,0.0,2.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.8547,637.8547,1354.7356,21.4383,0.45790000000000003,0.5802,0.0763,1.2248,7.2112,6.2888,11.5393,1.9222000000000001,1.2659,13.9771,-3.0819,adams,dejean-jones,adams|dejean-jones,False,,,,1993-12-23,adams,dejean-jones,adams|dejean-jones
Adiguzel,Auguste,2019.0,Full Season,Italy - Liga A,Purple Aces,30.0,25.0,996.0,594.0,118.0,234.0,75.0,216.0,133.0,148.0,27.0,24.0,89.0,61.0,0.0,68.0,40.0,0.0,0.0,2.0,66.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.1619,1914.1619,2315.8284,26.2616,0.5766,0.48,0.3289,1.9062999999999999,9.9211,6.1289,12.3599,2.3969,0.4131,11.6614,-0.6254000000000001,adiguzel,auguste,adiguzel|auguste,False,,,,1995-04-27,adiguzel,auguste,adiguzel|auguste
Adiguzel,Auguste,2020.0,Full Season,EuroCup,Bisons,16.0,11.0,444.98,214.0,30.0,70.0,40.0,96.0,34.0,41.0,8.0,6.0,35.0,28.0,0.0,31.0,11.0,0.0,0.0,0.0,36.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.1436,811.1436,1166.6264,23.4155,0.5814,0.5783,0.247,0.8987,9.374,5.8401,10.2519,1.6138,0.0,14.4159,-2.9657999999999998,adiguzel,auguste,adiguzel|auguste,False,,,,1995-04-27,adiguzel,auguste,adiguzel|auguste
Adiguzel,Auguste,2020.0,Full Season,Italy - Liga A,Bisons,21.0,17.0,530.0,294.0,50.0,111.0,48.0,110.0,50.0,57.0,9.0,2.0,66.0,37.0,0.0,23.0,11.0,0.0,0.0,2.0,39.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.7117,954.7117,1738.2959,24.9444,0.5974,0.49770000000000003,0.2579,0.8569,13.4364,9.182,12.9971,1.4449,0.1085,8.5476,2.4933,adiguzel,auguste,adiguzel|auguste,False,,,,1995-04-27,adiguzel,auguste,adiguzel|auguste
Adreian,Vialtsev,2021.0,Full Season,EuroLeague,Nittany Lions,1.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5435,2.5435,1780.5074,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,adreian,vialtsev,adreian|vialtsev,False,,,,1997-01-03,adreian,vialtsev,adreian|vialtsev
Adrian,Janning,2021.0,Full Season,EuroLeague,Blue Demons,9.0,1.0,73.08,17.0,2.0,5.0,4.0,13.0,1.0,2.0,1.0,0.0,9.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.2737,127.2737,1750.2576,17.6194,0.45020000000000004,0.7222000000000001,0.1111,0.0,16.2377,8.9941,2.5937,1.4445999999999999,0.0,24.1158,-9.3472,adrian,janning,adrian|janning,False,,,,2000-12-12,adrian,janning,adrian|janning
Adrien,Eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-01-28,adrien,eric,adrien|eric
Agbelese,Butterfield,2012.0,Full Season,EuroLeague,Aztecs,2.0,0.0,33.38,12.0,2.0,7.0,1.0,3.0,5.0,6.0,0.0,1.0,4.0,13.0,0.0,6.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2923,61.2923,734.4944,27.0636,0.4747,0.30000000000000004,0.6000000000000001,4.9775,15.8775,8.6382,71.5298,5.3781,0.0,32.1888,-1.2784,agbelese,butterfield,agbelese|butterfield,True,,,,1983-04-05,agbelese,butterfield,agbelese|butterfield
Agbelese,Butterfield,2010.0,Full Season,NBA,Pacers,47.0,32.0,1188.9667,484.0,178.0,368.0,8.0,50.0,104.0,135.0,20.0,41.0,108.0,180.0,0.0,90.0,44.0,0.0,0.0,11.0,102.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2539.0,2404.0747,7968.6494,21.0293,0.5069,0.11960000000000001,0.323,3.7321,9.8675,7.2298,26.11,2.1077,0.7854,15.8618,-1.4522,agbelese,butterfield,agbelese|butterfield,,-163.0,2539.0,578.0,1983-04-05,agbelese,butterfield,agbelese|butterfield
Agbelese,Butterfield,2011.0,Full Season,NBA,Pacers,43.0,3.0,786.6333,230.0,87.0,206.0,7.0,33.0,35.0,48.0,16.0,17.0,65.0,143.0,0.0,65.0,35.0,0.0,0.0,8.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,1548.0467,8257.4734,18.3031,0.44210000000000005,0.1381,0.2008,2.0077,11.0459,4.9131,26.8437,2.468,0.8852000000000001,19.9926,-2.7197,agbelese,butterfield,agbelese|butterfield,,-3.0,1633.0,329.0,1983-04-05,agbelese,butterfield,agbelese|butterfield
Agbelese,Butterfield,2012.0,Full Season,NBA,Spurs,14.0,0.0,190.55,51.0,17.0,35.0,2.0,8.0,11.0,14.0,0.0,3.0,15.0,45.0,0.0,23.0,9.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.5,368.4623,7463.9964,17.3385,0.5187,0.186,0.3256,1.2455,9.1181,5.3675,33.353,2.3407999999999998,0.4923,31.8736,-2.1878,agbelese,butterfield,agbelese|butterfield,,28.0,403.5,74.0,1983-04-05,agbelese,butterfield,agbelese|butterfield
Ager,Koenig,2016.0,Full Season,EuroLeague,Redbirds,14.0,4.0,188.6,88.0,30.0,50.0,0.0,0.0,28.0,44.0,3.0,33.0,27.0,7.0,0.0,12.0,8.0,0.0,0.0,6.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.156,311.156,1583.8435,21.6631,0.6344000000000001,0.0,0.88,23.8688,22.4506,22.1996,6.6661,2.6736,3.5761000000000003,14.7493,4.868,ager,koenig,ager|koenig,True,,,,1991-04-17,ager,koenig,ager|koenig
Ager,Koenig,2016.0,Full Season,Spain - ACB,Redbirds,27.0,5.0,370.11,149.0,53.0,93.0,0.0,0.0,43.0,69.0,3.0,56.0,45.0,3.0,0.0,27.0,12.0,0.0,0.0,4.0,58.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.9686,623.9686,2436.1295,20.011,0.6039,0.0,0.7419,19.7123,16.4739,18.1676,4.5195,2.0467,0.9591000000000001,17.9569,-2.1786,ager,koenig,ager|koenig,True,,,,1991-04-17,ager,koenig,ager|koenig
Ager,Koenig,2019.0,Full Season,Italy - Liga A,Seminoles,43.0,43.0,1108.0,598.0,233.0,446.0,1.0,6.0,129.0,196.0,23.0,161.0,215.0,39.0,0.0,58.0,22.0,0.0,0.0,14.0,137.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.3889,2046.3889,3232.1124,24.4358,0.5555,0.013300000000000001,0.43360000000000004,16.7876,22.3721,20.4046,7.5553,1.3513,1.2730000000000001,9.7276,0.6297,ager,koenig,ager|koenig,True,,,,1991-04-17,ager,koenig,ager|koenig
Ager,Koenig,2015.0,Full Season,NBA,Jazz,16.0,0.0,87.15,27.0,9.0,22.0,0.0,0.0,9.0,21.0,2.0,10.0,15.0,1.0,0.0,3.0,6.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,164.1199,7421.6467,18.011,0.43210000000000004,0.0,0.9545,14.6312,19.04,17.9098,3.201,3.5197000000000003,2.8263,8.7617,-5.6222,ager,koenig,ager|koenig,,-5.0,192.0,36.0,1991-04-17,ager,koenig,ager|koenig
Ager,Koenig,2018.0,Full Season,NBA,Kings,7.0,0.0,87.25,40.0,13.0,27.0,0.0,0.0,14.0,19.0,4.0,14.0,16.0,6.0,18.0,3.0,1.0,1.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.5,172.5125,7811.9995,19.7592,0.5656,0.0,0.7037,18.7019,20.523600000000002,20.4053,12.961,0.7355,0.0,7.8206,-0.5008,ager,koenig,ager|koenig,,-4.0,182.5,40.0,1991-04-17,ager,koenig,ager|koenig
Agravanis,Tomic,2021.0,Full Season,EuroCup,Fighting Irish,13.0,11.0,318.12,99.0,11.0,24.0,23.0,50.0,8.0,10.0,1.0,4.0,22.0,80.0,0.0,32.0,7.0,0.0,0.0,0.0,29.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.8679,565.8679,933.8705,16.9014,0.6314000000000001,0.6757000000000001,0.1351,0.9204,9.1244,6.6772,39.8934,1.1869,0.0,28.985500000000002,-0.14100000000000001,agravanis,tomic,agravanis|tomic,False,,,,1992-03-10,agravanis,tomic,agravanis|tomic
Agravanis,Tomic,2021.0,Full Season,Spain - ACB,Fighting Irish,21.0,17.0,516.87,207.0,33.0,58.0,39.0,88.0,24.0,28.0,6.0,17.0,37.0,92.0,0.0,59.0,20.0,0.0,0.0,0.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.7052,935.7052,1519.3013,20.08,0.6537000000000001,0.6027,0.1918,5.3812,9.396,8.178,30.5557,2.1107,0.0,27.1489,1.3036,agravanis,tomic,agravanis|tomic,False,,,,1992-03-10,agravanis,tomic,agravanis|tomic
Ahearn,Barnies,2014.0,Full Season,EuroLeague,Terriers,4.0,2.0,73.52,30.0,7.0,20.0,4.0,13.0,4.0,6.0,3.0,1.0,8.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.6156,121.6156,661.6935,26.4961,0.4209,0.39390000000000003,0.18180000000000002,3.0799,14.1813,8.8713,12.4434,1.8298,1.2483,5.3135,-4.5826,ahearn,barnies,ahearn|barnies,True,,,,1988-10-20,ahearn,barnies,ahearn|barnies
Ahearn,Barnies,2014.0,Full Season,Italy - Liga A,Terriers,5.0,0.0,83.0,43.0,11.0,16.0,7.0,18.0,0.0,1.0,1.0,1.0,14.0,7.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.8444,139.8444,3108.59,24.2364,0.6243000000000001,0.5294,0.029400000000000003,2.5444,22.3886,12.8853,19.9236,2.3468,0.0,12.6775,3.8506,ahearn,barnies,ahearn|barnies,True,,,,1988-10-20,ahearn,barnies,ahearn|barnies
Ahearn,Barnies,2015.0,Full Season,EuroCup,Rebels,5.0,0.0,79.52,25.0,4.0,20.0,5.0,17.0,2.0,7.0,1.0,0.0,7.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0009,142.0009,1142.8748,28.3969,0.3119,0.4595,0.1892,0.0,9.8398,7.019,10.0756,1.8194,0.0,14.8683,-14.281,ahearn,barnies,ahearn|barnies,True,,,,1988-10-20,ahearn,barnies,ahearn|barnies
Ahearn,Barnies,2013.0,Full Season,NBA,Pistons,41.0,0.0,406.55,119.0,28.0,62.0,14.0,50.0,21.0,29.0,8.0,8.0,29.0,26.0,0.0,19.0,16.0,0.0,0.0,3.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,843.0,769.2974,7495.2332,16.0961,0.47690000000000005,0.4464,0.2589,2.7269,10.1317,5.0513,10.7483,2.1761,0.3798,13.2165,-4.2162,ahearn,barnies,ahearn|barnies,,-59.0,843.0,145.0,1988-10-20,ahearn,barnies,ahearn|barnies
Ahmad,Rice,2012.0,Full Season,EuroCup,Saints,6.0,0.0,82.78,13.0,5.0,11.0,0.0,0.0,3.0,7.0,0.0,7.0,19.0,1.0,0.0,3.0,4.0,0.0,0.0,8.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.6715,144.6715,419.4459,10.0888,0.4616,0.0,0.6364000000000001,8.5706,29.3124,18.5162,4.028,2.498,8.789,17.5644,3.0199,ahmad,rice,ahmad|rice,False,,,,1992-06-10,ahmad,rice,ahmad|rice
Ahmad,Rice,2013.0,Full Season,EuroCup,Saints,3.0,1.0,31.26,15.0,6.0,7.0,0.0,0.0,3.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4837,53.4837,410.6237,15.0965,0.8152,0.0,0.7143,0.0,29.4718,14.669,0.0,3.771,10.0599,0.0,4.4687,ahmad,rice,ahmad|rice,False,,,,1992-06-10,ahmad,rice,ahmad|rice
Ahmad,Rice Iv,2014.0,Full Season,NBA,Jazz,45.0,0.0,433.7,104.0,36.0,74.0,0.0,0.0,32.0,65.0,7.0,51.0,104.0,7.0,0.0,32.0,8.0,0.0,0.0,41.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,825.5407,7530.1801,14.2014,0.5068,0.0,0.8784000000000001,14.5811,28.8647,19.8026,3.5228,1.164,7.4624,23.7741,-2.6543,ahmad,rice iv,ahmad|rice iv,,-25.0,895.0,141.0,,,,
Ahmad,Rice Iv,2015.0,Full Season,NBA,Jazz,82.0,37.0,2158.4167,686.0,258.0,425.0,0.0,2.0,170.0,273.0,38.0,265.0,510.0,109.0,0.0,111.0,64.0,0.0,0.0,189.0,175.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,22.0,0.0,4351.5,4064.7059,7421.6467,13.9779,0.6269,0.0047,0.6393,15.222,27.4543,20.5649,8.2336,1.8335,7.3363,16.8662,4.1451,ahmad,rice iv,ahmad|rice iv,,6.0,4351.5,682.0,,,,
Ahmad,Rice Iv,2016.0,Full Season,NBA,Jazz,61.0,60.0,1932.0333,557.0,198.0,354.0,0.0,0.0,161.0,283.0,42.0,208.0,460.0,91.0,5.0,114.0,45.0,2.0,0.0,135.0,163.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3884.5,3662.5062,7565.6367,14.1558,0.582,0.0,0.7994,11.629,27.1021,21.5634,8.5492,1.35,6.0712,19.2399,2.1337,ahmad,rice iv,ahmad|rice iv,,149.0,3884.5,611.0,,,,
Ahmad,Rice Iv,2017.0,Full Season,NBA,Jazz,90.0,90.0,2989.8,1241.0,453.0,687.0,0.0,1.0,335.0,526.0,60.0,336.0,788.0,108.0,530.0,156.0,58.0,151.0,58.0,226.0,276.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6043.0,5706.2574,8548.5073,16.8419,0.6749,0.0015,0.7645000000000001,14.2627,29.8253,21.9666,6.1987,1.1549,6.4371,14.505700000000001,4.2832,ahmad,rice iv,ahmad|rice iv,,374.0,6043.0,1128.0,,,,
